time,evento,____indefinido,atq_fora_area,atq_grande_area,atq_longe,atq_pequena_area,atq_zona_morta,def_fora_area,def_grande_area,def_longe,def_zona_morta,1o_15,1o_30,1o_45,2o_15,2o_30,2o_45,1o_15_porc,1o_30_porc,1o_45_porc,2o_15_porc,2o_30_porc,2o_45_porc
Belarus,40,,5.0,1.0,8.0,,4.0,4.0,,14.0,4.0,5,7,4,9,4,11,12.5,17.5,10.0,22.5,10.0,27.5
Brazil,85,1.0,10.0,3.0,22.0,,11.0,2.0,1.0,25.0,10.0,15,14,15,15,13,13,17.6,16.5,17.6,17.6,15.3,15.3
Egypt,46,2.0,2.0,,12.0,,1.0,3.0,,18.0,8.0,6,5,9,5,11,10,13.0,10.9,19.6,10.9,23.9,21.7
Gabon,37,2.0,2.0,1.0,4.0,,3.0,6.0,1.0,13.0,5.0,6,6,7,7,1,10,16.2,16.2,18.9,18.9,2.7,27.0
Great Britain,41,,4.0,4.0,12.0,,5.0,4.0,,7.0,5.0,6,7,5,4,6,13,14.6,17.1,12.2,9.8,14.6,31.7
Honduras,61,,1.0,2.0,10.0,,8.0,6.0,1.0,26.0,7.0,8,10,8,6,10,19,13.1,16.4,13.1,9.8,16.4,31.1
Japan,88,1.0,8.0,2.0,26.0,1.0,17.0,4.0,,22.0,7.0,15,12,17,14,16,14,17.0,13.6,19.3,15.9,18.2,15.9
Korea Republic,80,1.0,6.0,,24.0,,9.0,3.0,2.0,30.0,5.0,16,12,18,7,13,14,20.0,15.0,22.5,8.8,16.2,17.5
Mexico,69,,9.0,3.0,9.0,1.0,8.0,8.0,,22.0,9.0,7,16,11,13,9,13,10.1,23.2,15.9,18.8,13.0,18.8
Morocco,40,,1.0,1.0,10.0,,5.0,1.0,1.0,18.0,3.0,5,7,10,8,2,8,12.5,17.5,25.0,20.0,5.0,20.0
New Zealand,39,,3.0,2.0,10.0,,2.0,2.0,,15.0,5.0,7,6,5,9,5,7,17.9,15.4,12.8,23.1,12.8,17.9
Senegal,59,,10.0,1.0,16.0,1.0,8.0,7.0,,9.0,7.0,10,7,5,13,10,14,16.9,11.9,8.5,22.0,16.9,23.7
Spain,35,,1.0,3.0,9.0,,6.0,2.0,,9.0,5.0,4,5,7,4,4,11,11.4,14.3,20.0,11.4,11.4,31.4
Switzerland,42,,,2.0,10.0,,6.0,3.0,,16.0,5.0,6,7,13,5,4,7,14.3,16.7,31.0,11.9,9.5,16.7
United Arab Emirates,30,,1.0,,10.0,,2.0,4.0,,8.0,5.0,4,5,8,5,3,5,13.3,16.7,26.7,16.7,10.0,16.7
Uruguay,36,,3.0,4.0,9.0,1.0,4.0,5.0,,5.0,5.0,5,5,7,2,8,9,13.9,13.9,19.4,5.6,22.2,25.0
