,gols,chutes,aproveitamento,gol^fora_area,gol^grande_area,gol^pequena_area,chute^fora_area,chute^grande_area,chute^indefinido,chute^longe,chute^pequena_area,chute^zona_morta,aprov^fora_area,aprov^grande_area,aprov^indefinido,aprov^longe,aprov^pequena_area,aprov^zona_morta,1o_15,1o_30,1o_45,2o_15,2o_30,2o_45,1o_15_porc,1o_30_porc,1o_45_porc,2o_15_porc,2o_30_porc,2o_45_porc
Belarus,3.0,43,7.0,0.0,1.0,2.0,20.0,18.0,0.0,1.0,2.0,2.0,0.0,5.6,0,0,100.0,0,1.0,0.0,1.0,0.0,0.0,1.0,33.3,0.0,33.3,0.0,0.0,33.3
Brazil,16.0,95,16.8,1.0,12.0,3.0,35.0,44.0,4.0,2.0,3.0,7.0,2.9,27.3,0,0,100.0,0,1.0,5.0,2.0,4.0,2.0,2.0,6.2,31.2,12.5,25.0,12.5,12.5
Egypt,6.0,62,9.7,0.0,4.0,2.0,19.0,27.0,7.0,0.0,3.0,6.0,0.0,14.8,0,0,66.7,0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,16.7,33.3,16.7,33.3
Gabon,1.0,45,2.2,0.0,1.0,0.0,14.0,17.0,8.0,1.0,0.0,5.0,0.0,5.9,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Great Britain,6.0,46,13.0,1.0,2.0,3.0,18.0,16.0,1.0,0.0,6.0,5.0,5.6,12.5,0,0,50.0,0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,33.3,33.3,0.0,16.7,16.7
Honduras,5.0,41,12.2,1.0,3.0,1.0,16.0,16.0,0.0,3.0,1.0,5.0,6.2,18.8,0,0,100.0,0,2.0,0.0,0.0,2.0,1.0,0.0,40.0,0.0,0.0,40.0,20.0,0.0
Japan,6.0,71,8.5,2.0,4.0,0.0,34.0,33.0,0.0,0.0,2.0,2.0,5.9,12.1,0,0,0.0,0,2.0,0.0,1.0,0.0,0.0,3.0,33.3,0.0,16.7,0.0,0.0,50.0
Korea Republic,5.0,77,6.5,1.0,4.0,0.0,29.0,39.0,3.0,1.0,1.0,4.0,3.4,10.3,0,0,0.0,0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,20.0,20.0,40.0,20.0,0.0
Mexico,12.0,78,15.4,2.0,10.0,0.0,35.0,34.0,7.0,0.0,0.0,2.0,5.7,29.4,0,0,0.0,0,2.0,0.0,1.0,0.0,5.0,4.0,16.7,0.0,8.3,0.0,41.7,33.3
Morocco,2.0,34,5.9,1.0,1.0,0.0,12.0,17.0,0.0,1.0,3.0,1.0,8.3,5.9,0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
New Zealand,1.0,24,4.2,0.0,0.0,1.0,9.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0,0,100.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Senegal,6.0,72,8.3,0.0,4.0,2.0,26.0,37.0,0.0,2.0,4.0,3.0,0.0,10.8,0,0,50.0,0,1.0,0.0,1.0,1.0,1.0,2.0,16.7,0.0,16.7,16.7,16.7,33.3
Spain,0.0,43,0.0,0.0,0.0,0.0,18.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,,
Switzerland,2.0,23,8.7,0.0,2.0,0.0,13.0,9.0,0.0,0.0,1.0,0.0,0.0,22.2,0,0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0
United Arab Emirates,3.0,32,9.4,0.0,3.0,0.0,21.0,8.0,0.0,0.0,2.0,1.0,0.0,37.5,0,0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,0.0
Uruguay,2.0,44,4.5,1.0,1.0,0.0,18.0,21.0,0.0,0.0,3.0,2.0,5.6,4.8,0,0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
