time,jogos,faltas,atq_fora_area,atq_grande_area,atq_longe,atq_pequena_area,atq_zona_morta,def_fora_area,def_grande_area,def_longe,def_zona_morta,1o_15,1o_30,1o_45,2o_15,2o_30,2o_45,1o_15_porc,1o_30_porc,1o_45_porc,2o_15_porc,2o_30_porc,2o_45_porc
Algeria,3,49,5.0,1.0,11.0,,5.0,5.0,,13.0,9.0,6,7,9,9,9,9,12.2,14.3,18.4,18.4,18.4,18.4
Argentina,3,24,,3.0,4.0,,3.0,4.0,,6.0,4.0,7,3,6,1,3,4,29.2,12.5,25.0,4.2,12.5,16.7
Australia,3,50,3.0,3.0,15.0,,8.0,3.0,,14.0,4.0,9,8,12,5,7,9,18.0,16.0,24.0,10.0,14.0,18.0
Belgium,3,45,5.0,3.0,13.0,,6.0,,1.0,14.0,3.0,6,6,8,7,8,10,13.3,13.3,17.8,15.6,17.8,22.2
Bosnia-Herzegovina,3,41,,,13.0,,6.0,4.0,,11.0,7.0,7,5,9,5,8,7,17.1,12.2,22.0,12.2,19.5,17.1
Brazil,3,37,2.0,1.0,5.0,1.0,4.0,3.0,,19.0,2.0,3,3,7,6,7,11,8.1,8.1,18.9,16.2,18.9,29.7
Cameroon,3,37,4.0,1.0,8.0,,6.0,2.0,,12.0,4.0,7,8,8,5,2,7,18.9,21.6,21.6,13.5,5.4,18.9
Chile,3,38,1.0,1.0,8.0,,4.0,6.0,,11.0,7.0,7,7,7,3,8,6,18.4,18.4,18.4,7.9,21.1,15.8
Colombia,3,49,1.0,3.0,13.0,,6.0,9.0,,14.0,3.0,8,9,5,8,10,9,16.3,18.4,10.2,16.3,20.4,18.4
Costa Rica,3,59,6.0,2.0,14.0,,10.0,2.0,1.0,20.0,4.0,8,10,9,9,11,12,13.6,16.9,15.3,15.3,18.6,20.3
Croatia,3,48,3.0,9.0,11.0,,3.0,2.0,1.0,10.0,9.0,7,2,8,12,7,12,14.6,4.2,16.7,25.0,14.6,25.0
Ecuador,3,49,6.0,2.0,12.0,,10.0,4.0,,14.0,1.0,10,7,9,5,9,9,20.4,14.3,18.4,10.2,18.4,18.4
England,3,37,1.0,4.0,8.0,,7.0,3.0,,11.0,3.0,4,6,6,9,7,5,10.8,16.2,16.2,24.3,18.9,13.5
France,3,35,2.0,2.0,8.0,,6.0,1.0,,11.0,5.0,5,7,5,7,4,7,14.3,20.0,14.3,20.0,11.4,20.0
Germany,3,28,1.0,1.0,11.0,,2.0,2.0,,10.0,1.0,5,1,3,8,4,7,17.9,3.6,10.7,28.6,14.3,25.0
Ghana,3,43,6.0,3.0,11.0,,3.0,4.0,,15.0,1.0,6,7,7,9,5,9,14.0,16.3,16.3,20.9,11.6,20.9
Greece,3,45,1.0,5.0,11.0,,5.0,10.0,,11.0,2.0,9,8,5,12,4,7,20.0,17.8,11.1,26.7,8.9,15.6
Honduras,3,46,3.0,3.0,7.0,1.0,4.0,5.0,1.0,9.0,13.0,8,5,13,11,5,4,17.4,10.9,28.3,23.9,10.9,8.7
Iran,3,49,3.0,3.0,11.0,,8.0,2.0,,15.0,7.0,9,5,7,7,11,10,18.4,10.2,14.3,14.3,22.4,20.4
Italy,3,41,7.0,4.0,8.0,,6.0,2.0,,9.0,5.0,10,9,6,7,5,4,24.4,22.0,14.6,17.1,12.2,9.8
Ivory Coast,3,49,4.0,2.0,10.0,,5.0,5.0,1.0,18.0,4.0,5,6,10,10,5,13,10.2,12.2,20.4,20.4,10.2,26.5
Japan,3,46,3.0,6.0,14.0,,4.0,5.0,1.0,10.0,3.0,5,7,5,11,7,11,10.9,15.2,10.9,23.9,15.2,23.9
Korea Republic,3,36,,,5.0,,2.0,3.0,,19.0,7.0,9,4,9,4,2,8,25.0,11.1,25.0,11.1,5.6,22.2
Mexico,3,41,1.0,1.0,14.0,1.0,2.0,4.0,,11.0,7.0,9,2,11,9,6,4,22.0,4.9,26.8,22.0,14.6,9.8
Netherlands,3,69,4.0,4.0,17.0,,10.0,3.0,2.0,24.0,5.0,13,10,13,12,8,13,18.8,14.5,18.8,17.4,11.6,18.8
Nigeria,3,42,5.0,4.0,6.0,,5.0,3.0,,10.0,9.0,8,5,6,11,4,8,19.0,11.9,14.3,26.2,9.5,19.0
Portugal,3,46,5.0,4.0,17.0,,2.0,2.0,1.0,9.0,6.0,8,11,4,8,6,9,17.4,23.9,8.7,17.4,13.0,19.6
Russia,3,38,2.0,5.0,12.0,1.0,3.0,4.0,,8.0,3.0,3,5,8,12,2,8,7.9,13.2,21.1,31.6,5.3,21.1
Spain,3,28,1.0,3.0,8.0,1.0,3.0,1.0,,6.0,5.0,5,1,10,1,5,6,17.9,3.6,35.7,3.6,17.9,21.4
Switzerland,3,39,1.0,1.0,6.0,,6.0,1.0,1.0,16.0,7.0,7,9,3,5,4,11,17.9,23.1,7.7,12.8,10.3,28.2
United States,3,38,2.0,1.0,11.0,,6.0,3.0,,14.0,1.0,3,7,9,9,6,4,7.9,18.4,23.7,23.7,15.8,10.5
Uruguay,3,57,2.0,5.0,15.0,,6.0,3.0,,17.0,9.0,14,5,8,8,11,11,24.6,8.8,14.0,14.0,19.3,19.3
