time,jogos,gols,chutes,aproveitamento,gol^fora_area,gol^grande_area,gol^pequena_area,chute^fora_area,chute^grande_area,chute^longe,chute^pequena_area,chute^zona_morta,aprov^fora_area,aprov^grande_area,aprov^longe,aprov^pequena_area,aprov^zona_morta,1o_15,1o_30,1o_45,2o_15,2o_30,2o_45,1o_15_porc,1o_30_porc,1o_45_porc,2o_15_porc,2o_30_porc,2o_45_porc
Algeria,4,7,36,19.4,0.0,5.0,2.0,12.0,21.0,0.0,2.0,1.0,0.0,23.8,0,100.0,0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,42.9,14.3,14.3,14.3,14.3
Argentina,4,6,77,7.8,3.0,3.0,0.0,27.0,42.0,1.0,3.0,4.0,11.1,7.1,0,0.0,0,1.0,0.0,1.0,1.0,1.0,2.0,16.7,0.0,16.7,16.7,16.7,33.3
Australia,3,3,27,11.1,0.0,3.0,0.0,9.0,16.0,1.0,0.0,1.0,0.0,18.8,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0
Belgium,4,6,81,7.4,0.0,6.0,0.0,37.0,40.0,1.0,1.0,2.0,0.0,15.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,16.7,83.3
Bosnia-Herzegovina,3,4,47,8.5,1.0,2.0,1.0,24.0,17.0,1.0,1.0,4.0,4.2,11.8,0,100.0,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,25.0,0.0,25.0,0.0,50.0
Brazil,4,8,70,11.4,3.0,4.0,1.0,30.0,30.0,2.0,3.0,5.0,10.0,13.3,0,33.3,0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,37.5,12.5,12.5,12.5,25.0
Cameroon,3,1,40,2.5,0.0,0.0,1.0,15.0,19.0,1.0,1.0,4.0,0.0,0.0,0,100.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Chile,4,6,38,15.8,2.0,4.0,0.0,17.0,19.0,1.0,1.0,0.0,11.8,21.1,0,0.0,0,2.0,1.0,2.0,0.0,0.0,1.0,33.3,16.7,33.3,0.0,0.0,16.7
Colombia,4,11,46,23.9,1.0,7.0,3.0,16.0,23.0,2.0,3.0,2.0,6.2,30.4,0,100.0,0,1.0,2.0,0.0,3.0,2.0,3.0,9.1,18.2,0.0,27.3,18.2,27.3
Costa Rica,4,5,32,15.6,1.0,1.0,3.0,15.0,13.0,0.0,4.0,0.0,6.7,7.7,0,75.0,0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,20.0,60.0,0.0,20.0
