nome,adversario,Altura,Cartões Amarelos,Assistências,Assistências - Média,Bloqueios,Bloqueios - Média,Carrinhos,Carrinhos - Média,Chutes Certos,Chutes Certos - Média,Chutes ao gol,Chutes ao gol - Média,Cruzamentos,Cruzamentos - Média,Faltas Cometidas,Faltas Cometidas - Média,Faltas Sofridas,Faltas Sofridas - Média,Gols,Gols - Média,Impedimentos,Impedimentos - Média,Jogos,Passes,Passes - Média,Peso,posicao,Roubadas,Roubadas - Média,time,Cartões Vermelhos,Chutes convertidos em gols (%),Acerto de chutes (%),Idade
Tim Howard,Todos,1.87,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,0,0.0,95,Goleiro,0,0.0,Estados Unidos,0.0,inf,inf,35
DaMarcus Beasley,Todos,1.70,0.0,0,0.0,7,1.8,1,0.2,0,0.0,1,0.2,9,2.2,4,1.0,9,2.2,0,0.0,0,0.0,4.0,166,41.5,66,Zagueiro,21,5.2,Estados Unidos,0.0,0.0,0.0,32
Nick Rimando,Todos,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,86,Goleiro,0,0.0,Estados Unidos,0.0,inf,inf,35
Kyle Beckerman,Todos,1.81,1.0,0,0.0,3,1.0,10,3.3,1,0.3,1,0.3,0,0.0,6,2.0,4,1.3,0,0.0,0,0.0,3.0,134,44.7,75,Meio Campo,13,4.3,Estados Unidos,0.0,0.0,1.0,32
Brad Davis,Todos,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1.0,19,19.0,75,Meio Campo,2,2.0,Estados Unidos,0.0,inf,inf,32
Clint Dempsey,Todos,1.85,0.0,0,0.0,2,0.5,1,0.2,9,2.2,12,3.0,1,0.2,5,1.2,6,1.5,2,0.5,2,0.5,4.0,90,22.5,85,Atacante,3,0.8,Estados Unidos,0.0,0.16666666666666666,0.75,31
Michael Bradley,Todos,1.85,0.0,1,0.2,1,0.2,1,0.2,3,0.8,5,1.2,7,1.8,8,2.0,4,1.0,0,0.0,0,0.0,4.0,227,56.8,86,Meio Campo,9,2.2,Estados Unidos,0.0,0.0,0.6,26
Brad Guzan,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,95,Goleiro,0,0.0,Estados Unidos,0.0,inf,inf,29
Chris Wondolowski,Todos,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,2.0,15,7.5,75,Atacante,0,0.0,Estados Unidos,0.0,0.0,0.0,31
Michael Umana,Todos,1.80,0.0,0,0.0,3,1.0,7,2.3,0,0.0,0,0.0,0,0.0,3,1.0,1,0.3,0,0.0,0,0.0,3.0,92,30.7,73,Zagueiro,15,5.0,Costa Rica,0.0,inf,inf,31
Jozy Altidore,Todos,1.85,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,3,3.0,72,Atacante,0,0.0,Estados Unidos,0.0,0.0,1.0,24
Frank Lampard,Todos,1.81,0.0,0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,2,2.0,1,1.0,2,2.0,0,0.0,0,0.0,1.0,64,64.0,88,Meio Campo,14,14.0,Inglaterra,0.0,0.0,1.0,36
Arjen Robben,Todos,1.80,0.0,1,0.2,0,0.0,2,0.5,11,2.8,12,3.0,12,3.0,4,1.0,13,3.2,3,0.8,2,0.5,4.0,82,20.5,80,Atacante,5,1.2,Holanda,0.0,0.25,0.9166666666666666,30
John Obi Mikel,Todos,1.88,1.0,0,0.0,0,0.0,12,3.0,2,0.5,3,0.8,1,0.2,11,2.8,7,1.8,0,0.0,0,0.0,4.0,199,49.8,86,Meio Campo,35,8.8,Nigéria,0.0,0.0,0.6666666666666666,27
Didier Drogba,Todos,1.80,0.0,0,0.0,1,0.3,2,0.7,2,0.7,3,1.0,3,1.0,6,2.0,6,2.0,0,0.0,0,0.0,3.0,20,6.7,91,Atacante,3,1.0,C. Marfim,0.0,0.0,0.6666666666666666,36
Salomon Kalou,Todos,1.75,1.0,0,0.0,1,0.3,3,1.0,3,1.0,7,2.3,6,2.0,7,2.3,2,0.7,0,0.0,0,0.0,3.0,48,16.0,77,Atacante,4,1.3,C. Marfim,0.0,0.0,0.42857142857142855,28
Mauricio Pinilla,Todos,1.85,1.0,0,0.0,0,0.0,1,0.3,2,0.7,4,1.3,0,0.0,2,0.7,1,0.3,0,0.0,0,0.0,3.0,12,4.0,75,Atacante,2,0.7,Chile,0.0,0.0,0.5,30
Souleymane Bamba,Todos,1.90,1.0,0,0.0,2,0.7,2,0.7,0,0.0,1,0.3,0,0.0,4,1.3,1,0.3,0,0.0,0,0.0,3.0,140,46.7,89,Zagueiro,23,7.7,C. Marfim,0.0,0.0,0.0,29
Theofanis Gekas,Todos,1.79,0.0,0,0.0,0,0.0,0,0.0,2,0.5,5,1.2,0,0.0,1,0.2,0,0.0,0,0.0,5,1.2,4.0,21,5.2,72,Atacante,5,1.2,Grécia,0.0,0.0,0.4,34
Roman Weidenfeller,Todos,1.88,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,85,Goleiro,0,0.0,Alemanha,0.0,inf,inf,33
Miroslav Klose,Todos,1.82,0.0,0,0.0,0,0.0,0,0.0,1,0.3,3,1.0,1,0.3,2,0.7,3,1.0,1,0.3,1,0.3,3.0,15,5.0,84,Atacante,6,2.0,Alemanha,0.0,0.3333333333333333,0.3333333333333333,36
Jermaine Jones,Todos,1.84,1.0,1,0.2,5,1.2,7,1.8,6,1.5,10,2.5,3,0.8,8,2.0,11,2.8,1,0.2,0,0.0,4.0,107,26.8,78,Meio Campo,15,3.8,Estados Unidos,0.0,0.1,0.6,32
Daniel Van Buyten,Todos,1.96,0.0,0,0.0,6,1.5,2,0.5,3,0.8,5,1.2,0,0.0,2,0.5,4,1.0,0,0.0,0,0.0,4.0,195,48.8,95,Zagueiro,60,15.0,Bélgica,0.0,0.0,0.6,36
Bastian Schweinsteiger,Todos,1.83,1.0,0,0.0,3,0.8,4,1.0,3,0.8,6,1.5,4,1.0,8,2.0,11,2.8,0,0.0,0,0.0,4.0,224,56.0,79,Meio Campo,21,5.2,Alemanha,0.0,0.0,0.5,29
Nigel De Jong,Todos,1.74,0.0,0,0.0,0,0.0,12,3.0,2,0.5,2,0.5,0,0.0,8,2.0,4,1.0,0,0.0,0,0.0,4.0,89,22.2,72,Meio Campo,35,8.8,Holanda,0.0,0.0,1.0,29
Martín Demichelis,Todos,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Zagueiro,0,0.0,Argentina,0.0,inf,inf,33
Zvjezdan Misimovic,Todos,1.80,0.0,0,0.0,0,0.0,2,1.0,1,0.5,3,1.5,7,3.5,0,0.0,3,1.5,0,0.0,0,0.0,2.0,67,33.5,80,Meio Campo,5,2.5,Bósnia,0.0,0.0,0.3333333333333333,32
Philipp Lahm,Todos,1.70,1.0,0,0.0,6,1.2,4,0.8,3,0.6,3,0.6,6,1.2,3,0.6,6,1.2,0,0.0,0,0.0,5.0,372,74.4,66,Meio Campo,46,9.2,Alemanha,0.0,0.0,1.0,30
Per Mertesacker,Todos,1.98,0.0,0,0.0,5,1.2,1,0.2,0,0.0,0,0.0,0,0.0,3,0.8,3,0.8,0,0.0,0,0.0,4.0,290,72.5,90,Zagueiro,50,12.5,Alemanha,0.0,inf,inf,29
Lukas Podolski,Todos,1.80,0.0,0,0.0,0,0.0,1,0.5,0,0.0,2,1.0,2,1.0,0,0.0,1,0.5,0,0.0,1,0.5,2.0,23,11.5,83,Atacante,2,1.0,Alemanha,0.0,0.0,0.0,29
Tranquillo Barnetta,Todos,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,68,Meio Campo,0,0.0,Suíça,0.0,inf,inf,29
Arthur Boka,Todos,1.66,0.0,0,0.0,2,0.7,6,2.0,3,1.0,4,1.3,9,3.0,3,1.0,2,0.7,0,0.0,0,0.0,3.0,98,32.7,67,Zagueiro,19,6.3,C. Marfim,0.0,0.0,0.75,31
Vedad Ibisevic,Todos,1.89,0.0,0,0.0,0,0.0,1,0.3,3,1.0,5,1.7,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0,3.0,29,9.7,82,Atacante,2,0.7,Bósnia,0.0,0.2,0.6,29
Ashkan Dejagah,Todos,1.82,0.0,0,0.0,1,0.3,4,1.3,1,0.3,1,0.3,10,3.3,3,1.0,6,2.0,0,0.0,5,1.7,3.0,38,12.7,79,Atacante,12,4.0,Irã,0.0,0.0,1.0,27
Manuel Neuer,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3.0,0,0.0,92,Goleiro,0,0.0,Alemanha,0.0,inf,inf,28
Kevin-Prince Boateng,Todos,1.82,0.0,0,0.0,1,0.5,0,0.0,0,0.0,3,1.5,1,0.5,2,1.0,0,0.0,0,0.0,2,1.0,2.0,27,13.5,86,Atacante,0,0.0,Gana,0.0,0.0,0.0,27
Mesut Özil,Todos,1.80,0.0,0,0.0,2,0.4,1,0.2,5,1.0,6,1.2,16,3.2,2,0.4,6,1.2,1,0.2,2,0.4,5.0,189,37.8,76,Meio Campo,11,2.2,Alemanha,0.0,0.16666666666666666,0.8333333333333334,25
Hugo Almeida,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1.0,4,4.0,86,Atacante,0,0.0,Portugal,0.0,0.0,1.0,30
Vincent Kompany,Todos,1.90,1.0,0,0.0,5,1.7,2,0.7,1,0.3,1,0.3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,3.0,143,47.7,85,Zagueiro,30,10.0,Bélgica,0.0,0.0,1.0,28
Sami Khedira,Todos,1.89,1.0,0,0.0,1,0.2,1,0.2,1,0.2,2,0.5,3,0.8,4,1.0,6,1.5,0,0.0,0,0.0,4.0,146,36.5,85,Meio Campo,14,3.5,Alemanha,0.0,0.0,0.5,27
Ben Foster,Todos,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,90,Goleiro,0,0.0,Inglaterra,0.0,inf,inf,31
Steven Gerrard,Todos,1.85,1.0,0,0.0,1,0.3,4,1.3,0,0.0,2,0.7,6,2.0,2,0.7,0,0.0,0,0.0,0,0.0,3.0,113,37.7,83,Meio Campo,19,6.3,Inglaterra,0.0,0.0,0.0,34
Antonio Valencia,Todos,1.80,1.0,0,0.0,1,0.3,2,0.7,2,0.7,2,0.7,4,1.3,11,3.7,2,0.7,0,0.0,0,0.0,3.0,67,22.3,78,Meio Campo,6,2.0,Equador,1.0,0.0,1.0,28
Shola Ameobi,Todos,1.88,0.0,0,0.0,0,0.0,1,0.5,2,1.0,2,1.0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,2.0,14,7.0,95,Atacante,3,1.5,Nigéria,0.0,0.0,1.0,32
Kolo Touré,Todos,1.83,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1.0,36,36.0,74,Zagueiro,6,6.0,C. Marfim,0.0,0.0,0.0,33
Joseph Yobo,Todos,1.85,0.0,0,0.0,5,1.7,3,1.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,3.0,72,24.0,85,Zagueiro,19,6.3,Nigéria,0.0,inf,inf,33
Wayne Rooney,Todos,1.76,0.0,1,0.3,0,0.0,1,0.3,4,1.3,9,3.0,4,1.3,3,1.0,6,2.0,1,0.3,0,0.0,3.0,56,18.7,78,Atacante,4,1.3,Inglaterra,0.0,0.1111111111111111,0.4444444444444444,28
James Milner,Todos,1.75,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0,1.0,21,21.0,70,Meio Campo,6,6.0,Inglaterra,0.0,inf,inf,28
Xabi Alonso,Todos,1.83,1.0,0,0.0,0,0.0,4,1.3,2,0.7,3,1.0,4,1.3,5,1.7,2,0.7,1,0.3,1,0.3,3.0,146,48.7,77,Meio Campo,16,5.3,Espanha,0.0,0.3333333333333333,0.6666666666666666,32
Pepe Reina,Todos,1.87,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goleiro,0,0.0,Espanha,0.0,inf,inf,31
Robin Van Persie,Todos,1.84,2.0,0,0.0,0,0.0,1,0.3,7,2.3,9,3.0,2,0.7,7,2.3,5,1.7,3,1.0,5,1.7,3.0,38,12.7,71,Atacante,6,2.0,Holanda,0.0,0.3333333333333333,0.7777777777777778,30
Dirk Kuyt,Todos,1.84,0.0,0,0.0,2,1.0,5,2.5,0,0.0,1,0.5,5,2.5,2,1.0,0,0.0,0,0.0,0,0.0,2.0,76,38.0,84,Atacante,16,8.0,Holanda,0.0,0.0,0.0,33
Patrice Evra,Todos,1.71,1.0,0,0.0,2,0.5,3,0.8,0,0.0,1,0.2,10,2.5,5,1.2,5,1.2,0,0.0,0,0.0,4.0,135,33.8,76,Zagueiro,18,4.5,França,0.0,0.0,0.0,33
Michael Essien,Todos,1.80,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1.0,11,11.0,85,Meio Campo,1,1.0,Gana,0.0,0.0,1.0,31
Glen Johnson,Todos,1.80,0.0,1,0.5,1,0.5,1,0.5,0,0.0,2,1.0,7,3.5,1,0.5,3,1.5,0,0.0,0,0.0,2.0,121,60.5,70,Zagueiro,10,5.0,Inglaterra,0.0,0.0,0.0,29
Georgios Samaras,Todos,1.92,1.0,1,0.2,0,0.0,11,2.8,3,0.8,7,1.8,10,2.5,7,1.8,21,5.2,1,0.2,2,0.5,4.0,87,21.8,86,Atacante,13,3.2,Grécia,0.0,0.14285714285714285,0.42857142857142855,29
Philippe Senderos,Todos,1.90,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,57,57.0,84,Zagueiro,3,3.0,Suíça,0.0,inf,inf,29
Cristiano Ronaldo,Todos,1.85,0.0,1,0.3,0,0.0,2,0.7,14,4.7,23,7.7,4,1.3,2,0.7,10,3.3,1,0.3,4,1.3,3.0,78,26.0,80,Atacante,9,3.0,Portugal,0.0,0.043478260869565216,0.6086956521739131,29
Javier Mascherano,Todos,1.71,0.0,0,0.0,6,1.5,6,1.5,4,1.0,4,1.0,1,0.2,6,1.5,10,2.5,0,0.0,0,0.0,4.0,361,90.2,74,Meio Campo,31,7.8,Argentina,0.0,0.0,1.0,30
Benoit Assou-Ekotto,Todos,1.78,0.0,0,0.0,3,1.5,0,0.0,1,0.5,2,1.0,8,4.0,3,1.5,1,0.5,0,0.0,0,0.0,2.0,64,32.0,70,Zagueiro,6,3.0,Camarões,0.0,0.0,0.5,30
Didier Zokora,Todos,1.83,1.0,0,0.0,0,0.0,3,1.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,2.0,110,55.0,70,Zagueiro,13,6.5,C. Marfim,0.0,inf,inf,33
Tim Cahill,Todos,1.80,2.0,0,0.0,0,0.0,2,1.0,3,1.5,7,3.5,1,0.5,7,3.5,1,0.5,2,1.0,2,1.0,2.0,37,18.5,75,Atacante,4,2.0,Austrália,0.0,0.2857142857142857,0.42857142857142855,34
Alex Song,Todos,1.83,0.0,0,0.0,1,0.5,1,0.5,1,0.5,1,0.5,2,1.0,3,1.5,3,1.5,0,0.0,0,0.0,2.0,51,25.5,74,Meio Campo,2,1.0,Camarões,1.0,0.0,1.0,26
Cesc Fabregas,Todos,1.75,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,1,0.5,2.0,38,19.0,75,Meio Campo,5,2.5,Espanha,0.0,inf,inf,27
Reto Ziegler,Todos,1.83,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,80,Zagueiro,0,0.0,Suíça,0.0,inf,inf,28
Andranik Timotian,Todos,1.78,1.0,0,0.0,0,0.0,11,3.7,1,0.3,2,0.7,2,0.7,12,4.0,3,1.0,0,0.0,0,0.0,3.0,70,23.3,73,Meio Campo,28,9.3,Irã,0.0,0.0,0.5,31
Gabriel Paletta,Todos,1.87,0.0,0,0.0,3,3.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,36,36.0,88,Zagueiro,2,2.0,Itália,0.0,inf,inf,28
