codigo,time1,time2,Gols1,Gols2,Ataques1,Ataques2,Chutes a gol - Total1,Chutes a gol - Total2,Passes dentro da área1,Passes dentro da área2,Desarmes1,Desarmes2,Passes completados1,Passes completados2,posse_bola1,posse_bola2,Chutes certos1,Chutes certos2,Chutes bloqueados1,Chutes bloqueados2,Chutes defendidos1,Chutes defendidos2,Chutes para fora1,Chutes para fora2,Chutes na trave1,Chutes na trave2,Jogadas de bola parada1,Jogadas de bola parada2,Cruzamentos1,Cruzamentos2,Escanteios1,Escanteios2,Impedimentos1,Impedimentos2,Defesas1,Defesas2,Bolas recuperadas1,Bolas recuperadas2,Bolas perdidas1,Bolas perdidas2,Carrinhos1,Carrinhos2,Faltas1,Faltas2,Cartões amarelos1,Cartões amarelos2,Cartões vermelhos1,Cartões vermelhos2,Distância corrida - Total1,Distância corrida com bola1,Distância corrida sem bola1,Distância corrida - Total2,Distância corrida com bola2,Distância corrida sem bola2,Passes - Total1,Passes curtos1,Passes médios1,Passes longos1,Passes - Total2,Passes curtos2,Passes médios2,Passes longos2,porc_passes_completos1,porc_passes_completos2,Passes longos,Passes - Total,Passes médios,Passes dentro da área,Gols,Bolas recuperadas,Jogadas de bola parada,Cartões amarelos,Passes completados,Distância corrida - Total,Chutes a gol - Total,Distância corrida com bola,Cartões vermelhos,Chutes para fora,Chutes na trave,Chutes defendidos,Bolas perdidas,Chutes certos,Impedimentos,Escanteios,Desarmes,Cruzamentos,Passes curtos,Ataques,Defesas,Faltas,Chutes bloqueados,Distância corrida sem bola,Carrinhos,Times
300186464,Bósnia e Herzegovina,Irã,3,1,36,32,13,7,9,10,14,10,543,276,62,38,9,5,2,3,3,1,4,2,0,1,1,1,22,31,6,5,1,8,1,4,46,42,80,69,0,0,20,17,1,1,0,0,111975,48521,30155,107166,28172,48356,670,172,416,82,399,106,230,63,81,69,145,1069,646,19,4,88,2,2,819,219141,20,76693,0,6,1,4,149,14,9,11,24,53,278,68,5,37,5,78511,0,Bósnia e Herzegovina x Irã
300186458,Nigéria,Argentina,2,3,30,41,12,18,5,12,14,4,292,468,43,57,7,13,4,1,1,9,5,5,0,1,0,2,10,18,3,13,1,1,9,1,42,44,79,72,0,0,17,6,2,0,0,0,102354,32954,42528,102206,40401,34542,434,101,252,81,614,145,379,90,71,78,171,1048,631,17,5,86,2,2,760,204560,30,73355,0,10,1,10,151,20,2,16,18,28,246,71,10,23,5,77070,0,Nigéria x Argentina
300186482,Honduras,Suíça,0,3,44,29,13,16,6,7,7,15,484,280,60,40,6,13,3,3,3,7,7,3,0,0,1,1,26,9,8,1,0,2,7,3,39,38,68,73,0,0,17,18,1,0,0,0,93764,38882,30026,105914,32506,45129,591,123,388,80,381,112,210,59,82,73,139,972,598,13,3,77,2,1,764,199678,29,71388,0,10,0,10,141,19,2,9,22,35,235,73,10,35,6,75155,0,Honduras x Suíça
300186463,Honduras,Equador,1,2,34,49,16,8,5,6,15,9,299,303,49,51,9,5,4,1,4,2,7,3,1,0,4,3,12,24,4,12,1,1,2,4,50,49,92,82,0,0,15,17,2,3,0,0,95807,30615,34555,95052,32850,31098,429,111,237,81,439,107,258,74,70,69,155,868,495,11,3,99,7,5,602,190859,24,63465,0,10,1,6,174,14,2,16,24,36,218,83,6,32,5,65653,0,Honduras x Equador
300186466,Argentina,Irã,1,0,87,20,19,8,17,5,8,29,510,136,70,30,9,4,4,1,4,3,10,4,0,0,6,2,43,14,10,6,0,1,3,4,36,34,78,74,0,0,8,14,0,2,0,0,100307,46635,21992,108037,22357,51208,630,128,413,89,242,59,124,59,81,56,148,872,537,22,1,70,8,2,646,208344,27,68992,0,14,0,7,152,13,1,16,37,57,187,107,7,22,5,73200,0,Argentina x Irã
300186493,Alemanha,Gana,2,2,45,33,11,20,7,7,10,17,584,335,59,41,6,10,2,2,2,5,5,10,0,0,2,2,23,15,7,3,1,5,5,2,40,50,85,70,0,0,11,17,0,1,0,0,116886,49437,39886,110743,36740,48218,713,163,483,67,453,112,256,85,82,74,152,1166,739,14,4,90,4,1,919,227629,31,86177,0,15,0,7,155,16,6,10,27,38,275,78,7,28,4,88104,0,Alemanha x Gana
300186511,Nigéria,Bósnia e Herzegovina,1,0,43,55,20,18,7,18,25,17,299,477,46,54,13,10,3,3,9,7,7,8,0,0,2,2,12,26,4,4,3,2,7,9,49,43,73,82,0,0,9,7,1,1,0,0,103280,34849,45506,110327,46485,39327,422,97,242,83,598,136,396,66,71,80,149,1020,638,25,1,92,4,2,776,213607,38,81334,0,15,0,16,155,23,5,8,42,38,233,98,16,16,6,84833,0,Nigéria x Bósnia e Herzegovina
300186470,Holanda,Chile,2,0,25,35,13,7,5,10,15,11,197,479,36,64,8,1,3,0,3,1,5,6,0,0,3,2,9,29,2,7,1,2,1,3,38,28,69,74,0,0,25,14,1,1,0,0,103804,26623,42503,104234,41285,26578,317,64,186,67,609,109,405,95,62,79,162,926,591,15,2,66,5,2,676,208038,20,67908,0,11,0,4,143,9,3,9,26,38,173,60,4,39,3,69081,0,Holanda x Chile
300186467,Austrália,Espanha,0,3,18,45,4,11,3,9,7,14,403,558,45,55,0,8,0,4,0,1,4,3,0,0,0,1,12,13,2,6,1,6,2,0,46,64,94,83,0,0,14,9,2,1,0,0,117878,38693,53636,114174,50096,37640,525,112,342,71,686,210,378,98,77,81,169,1211,720,12,3,110,1,3,961,232052,15,88789,0,7,0,1,177,8,7,8,21,25,322,63,2,23,4,91276,0,Austrália x Espanha
300186472,Camarões,Brasil,1,4,28,41,12,19,5,11,7,6,321,373,46,54,6,18,5,8,0,6,6,1,0,0,4,2,13,13,6,7,1,3,6,0,41,36,70,76,0,0,14,19,3,0,0,0,99315,30421,37755,101591,38275,31832,433,144,220,69,486,145,258,83,74,77,152,919,478,16,5,77,6,3,694,200906,31,68696,0,7,0,6,146,24,4,13,13,26,289,69,6,33,13,69587,0,Camarões x Brasil
