time,Gols,Ataques,Desarmes,Passes completados,Posse de bola,Chutes certos,Chutes para fora,Jogadas de bola parada,Cruzamentos,Escanteios,Impedimentos,Defesas,Bolas recuperadas,Bolas perdidas,Faltas cometidas,Cartões amarelos,Cartões vermelhos,Distância corrida com bola,Distância corrida sem bola,Passes curtos,Passes médios,Passes longos,Porcentagem de passes completos,Gols Sofridos,Pontos,Saldo de Gols,Mordidas,Ranking,Chutes por 100 min,Chutes certos por 100 min,Gols por 100 min,Ataques por 100 min,Minutos para cada gol
Alemanha,17.0,41.5,14.3,562.2,56.3,10.7,4.0,1.2,19.8,5.3,2.3,4.2,45.3,83.2,11.8,0.7,0.0,46940.2,38793.8,161.5,444.3,76.0,82.0,4.0,16.0,13.0,0,1,4.580723567355333,3.3342681748776912,5.297435418029977,12.931974696955532,18.877058823529413
Argentina,8.0,51.7,12.7,479.7,57.2,10.2,5.7,2.7,26.8,7.5,1.0,2.5,46.5,86.2,10.7,1.0,0.0,44509.2,37581.3,140.2,388.3,84.3,78.5,3.0,16.0,5.0,0,2,4.876702245123297,3.1284504968715487,2.45368666421298,15.856950067476383,40.755
Holanda,12.0,41.0,12.7,447.8,50.5,9.8,3.8,2.8,18.5,5.0,4.2,2.7,45.0,71.2,17.7,1.5,0.0,44273.7,41791.3,107.0,366.0,102.3,76.0,4.0,14.0,8.0,0,3,4.987165383204988,3.5936927026035943,4.400440044004401,15.034836817015035,22.724999999999998
Colômbia,12.0,31.2,11.0,295.4,47.6,7.6,3.8,2.8,13.0,4.0,2.0,4.4,35.8,73.0,18.2,1.0,0.0,33375.0,35675.6,109.0,238.0,66.8,71.2,4.0,12.0,8.0,0,4,5.322128851540615,3.5480859010270778,5.602240896358544,14.565826330532214,17.849999999999998
Bélgica,6.0,53.2,11.0,394.8,52.8,11.8,6.4,2.2,24.4,7.8,4.4,2.8,42.2,77.4,17.2,1.4,0.2,41288.2,39532.2,128.2,318.4,84.8,73.8,3.0,12.0,3.0,0,5,7.181186868686869,4.655934343434343,2.3674242424242427,20.991161616161616,42.24
Brasil,11.0,45.8,14.0,373.7,53.2,11.2,5.5,3.0,22.5,6.3,2.3,1.5,44.8,83.5,17.8,1.8,0.0,37970.5,36199.7,136.0,285.0,81.0,74.5,11.0,11.0,0.0,0,6,5.507189025194565,3.693444136657433,3.6274897770742647,15.103548344545574,27.567272727272726
França,10.0,44.4,8.6,419.6,52.8,11.4,6.6,2.2,26.6,7.0,2.0,2.0,39.4,74.6,12.4,1.0,0.0,39104.2,35931.8,138.0,321.4,70.8,78.6,3.0,10.0,7.0,0,7,7.575757575757576,4.7979797979797985,4.2087542087542085,18.68686868686869,23.759999999999998
Costa Rica,5.0,26.0,16.2,318.0,42.8,3.6,4.0,1.8,12.4,3.6,2.2,4.2,44.4,79.4,18.8,2.4,0.0,33514.0,47675.0,113.8,251.6,82.6,71.2,2.0,9.0,3.0,0,8,3.6993769470404985,1.7523364485981308,2.4338006230529596,12.65576323987539,41.088
Chile,6.0,37.5,18.5,462.5,55.2,4.8,4.8,1.5,18.5,4.0,2.0,4.5,48.2,90.8,15.2,1.8,0.0,44140.2,39974.8,127.0,370.0,101.8,76.8,4.0,7.0,2.0,0,9,4.459308807134894,2.229654403567447,2.7870680044593086,17.41917502787068,35.88
México,5.0,34.0,17.0,348.2,48.5,5.5,6.0,1.2,15.0,4.0,1.8,2.5,39.5,75.8,13.2,2.0,0.0,34293.2,37867.5,110.8,280.8,73.5,74.2,3.0,7.0,2.0,0,10,6.5864833906071025,3.150057273768614,2.86368843069874,19.473081328751434,34.92
