adversario,altura,ano_nascimento,assistencias,bloqueios,carrinhos,chutes_certos,chutes_total,cidade_nascimento,codigo,cruzamentos,faltas_cometidas,faltas_sofridas,gols,impedimentos,nome,pais_nascimento,passes,peso,posicao,roubadas,time
Korea Republic,1.64,"6 May, 1987",0,0,0,3,4,Leuven,443066,3,0,0,0,1,Dries Mertens,Belgium,14,61,Midfielder,3,Belgium
Korea Republic,1.80,"5 February, 1995",0,0,2,0,0,Brussels,735764,0,1,2,0,0,Adnan Januzaj,Belgium,14,75,Midfielder,4,Belgium
Korea Republic,1.79,"5 October, 1987",0,0,0,1,1,Liege,347734,3,1,1,0,3,Kevin Mirallas,Belgium,18,72,Forward,1,Belgium
Korea Republic,1.87,"2 August, 1989",0,0,1,1,1,Liege,443052,1,1,0,0,0,Nacer Chadli,Belgium,9,80,Midfielder,3,Belgium
Korea Republic,1.72,"7 January, 1991",0,0,0,1,1,La Louviere,397817,0,0,2,0,0,Eden Hazard,Belgium,1,56,Midfielder,0,Belgium
Korea Republic,1.85,"18 April, 1995",0,1,0,2,3,Ostend,724860,0,1,2,0,0,Divock Origi,Belgium,8,75,Forward,1,Belgium
Korea Republic,1.83,"12 January, 1989",0,0,0,0,0,Liege,347225,0,0,0,0,0,Axel Witsel,Belgium,0,76,Midfielder,0,Belgium
Korea Republic,1.80,"5 August, 1985",0,0,0,0,0,Farciennes,347254,0,0,0,0,0,Laurent Ciman,Belgium,0,70,Defender,0,Belgium
Korea Republic,1.86,"2 March, 1989",0,0,0,0,0,Wilrijk,482752,0,0,0,0,0,Toby Alderweireld,Belgium,0,80,Defender,0,Belgium
Korea Republic,1.81,"28 June, 1991",0,0,0,0,0,Drongen,483710,0,0,0,0,0,Kevin De Bruyne,Belgium,0,68,Midfielder,0,Belgium
Korea Republic,1.90,"13 May, 1993",0,0,0,0,0,Antwerp,499317,0,0,0,0,0,Romelu Lukaku,Belgium,0,100,Forward,0,Belgium
Belgium,1.87,"30 September, 1990",0,0,0,0,0,Ulsan,583084,0,0,0,0,0,Kim Seung-Gyu,South Korea,0,80,Goalkeeper,0,Korea Republic
Belgium,1.90,"4 January, 1985",0,0,0,0,0,Jeju,461725,0,0,0,0,0,Jung Sung-Ryong,South Korea,0,85,Goalkeeper,0,Korea Republic
Belgium,1.99,"2 April, 1989",0,0,0,0,0,Seoul,583081,0,0,0,0,0,Bum-Young Lee,South Korea,0,90,Goalkeeper,0,Korea Republic
Korea Republic,1.87,"11 August, 1985",0,0,0,0,0,Tielt,346988,0,0,0,0,0,Sammy Bossut,Belgium,0,74,Goalkeeper,0,Belgium
Korea Republic,1.93,"6 March, 1988",0,0,0,0,0,Sint-Truiden,347350,0,0,0,0,0,Simon Mignolet,Belgium,0,87,Goalkeeper,0,Belgium
