codigo,altura,ano_nascimento,nome,peso,posicao,time,assistencias,bloqueios,carrinhos,chutes_certos,chutes_total,cruzamentos,faltas_cometidas,faltas_sofridas,gols,impedimentos,passes,roubadas,titular,banco,saiu,entrou,amarelo,vermelho
274190,1.87,"6 March, 1979",Tim Howard,95,Goalkeeper,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
274790,1.70,"24 May, 1982",DaMarcus Beasley,66,Defender,Estados Unidos,0,4,1,0,1,2,4,2,0,0,117,14,3.0,0.0,0.0,0.0,0.0,0.0
274846,1.82,"17 June, 1979",Nick Rimando,86,Goalkeeper,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
274879,1.81,"23 April, 1982",Kyle Beckerman,75,Midfielder,Estados Unidos,0,3,10,1,1,0,6,4,0,0,134,13,3.0,0.0,0.0,0.0,1.0,0.0
275001,1.80,"8 November, 1981",Brad Davis,75,Midfielder,Estados Unidos,0,0,0,0,0,0,1,0,0,1,19,2,1.0,2.0,1.0,0.0,0.0,0.0
275213,1.85,"9 March, 1983",Clint Dempsey,85,Forward,Estados Unidos,0,0,1,5,8,1,3,3,2,2,62,3,3.0,0.0,1.0,0.0,0.0,0.0
275241,1.85,"31 July, 1987",Michael Bradley,86,Midfielder,Estados Unidos,0,0,1,2,4,3,7,2,0,0,156,9,3.0,0.0,0.0,0.0,0.0,0.0
322494,1.93,"9 September, 1984",Brad Guzan,95,Goalkeeper,Estados Unidos,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0
322579,1.82,"28 January, 1983",Chris Wondolowski,75,Forward,Estados Unidos,0,0,0,0,0,0,0,0,0,0,4,0,0.0,3.0,0.0,1.0,0.0,0.0
322588,1.80,"16 July, 1982",Michael Umana,73,Defender,Costa Rica,0,2,6,0,0,0,1,1,0,0,62,12,2.0,1.0,0.0,0.0,0.0,0.0
322699,1.85,"6 November, 1989",Jozy Altidore,72,Forward,Estados Unidos,0,0,0,1,1,0,0,0,0,0,3,0,1.0,0.0,1.0,0.0,0.0,0.0
330391,1.81,"20 June, 1978",Frank Lampard,88,Midfielder,Inglaterra,0,1,1,1,1,2,1,2,0,0,64,14,1.0,2.0,0.0,0.0,0.0,0.0
330393,1.80,"23 January, 1984",Arjen Robben,80,Forward,Holanda,1,0,2,10,11,7,4,8,3,2,55,4,3.0,0.0,0.0,0.0,0.0,0.0
330396,1.88,"22 April, 1987",John Obi Mikel,86,Midfielder,Nigéria,0,0,7,2,3,1,6,5,0,0,153,29,3.0,0.0,0.0,0.0,1.0,0.0
330398,1.80,"11 March, 1978",Didier Drogba,91,Forward,C. Marfim,0,1,2,2,3,3,6,6,0,0,20,3,1.0,2.0,1.0,2.0,0.0,0.0
331043,1.75,"5 August, 1985",Salomon Kalou,77,Forward,C. Marfim,0,1,3,3,7,6,7,2,0,0,48,4,2.0,1.0,0.0,1.0,1.0,0.0
345016,1.85,"4 February, 1984",Mauricio Pinilla,75,Forward,Chile,0,0,0,1,1,0,0,0,0,0,6,1,0.0,3.0,0.0,2.0,0.0,0.0
345298,1.90,"13 January, 1985",Souleymane Bamba,89,Defender,C. Marfim,0,2,2,0,1,0,4,1,0,0,140,23,3.0,0.0,0.0,0.0,1.0,0.0
345322,1.79,"23 May, 1980",Theofanis Gekas,72,Forward,Grécia,0,0,0,1,2,0,1,0,0,4,17,5,1.0,2.0,1.0,2.0,0.0,0.0
