,nome,codigo,time,chutes,passes_completados,bolas_recuperadas,desarmes,defesas,velocidade_maxima,distancia,adversario
0,LENS,298681,Holanda,0,5,1,0,0,8.21,1755,Espanha
1,WIJNALDUM,319438,Holanda,1,11,2,0,0,7.97,3976,Espanha
2,CORLUKA,297373,Croácia,1,26,2,1,0,2,8861,Brasil
3,LOVREN,312432,Croácia,1,16,4,1,0,3,9243,Brasil
4,RAKITIĆ,296633,Croácia,0,40,6,4,0,2,10875,Brasil
5,JELAVIĆ,316117,Croácia,1,8,0,1,0,2,9285,Brasil
6,MODRIĆ,241559,Croácia,1,54,5,1,0,0,10430,Brasil
7,SRNA,210704,Croácia,0,23,3,1,0,2,10572,Brasil
8,OLIĆ,187258,Croácia,1,11,4,5,0,3,11351,Brasil
9,KOVAČIĆ,339987,Croácia,1,17,2,1,0,0,7459,Brasil
10,BROZOVIĆ,380000,Croácia,2,13,2,2,0,1,4371,Brasil
11,REBIĆ,369058,Croácia,0,4,0,0,0,1,2055,Brasil
12,G OCHOA,215285,México,0,17,0,1,1,3.72,3890,Camarões
13,F RODRIGUEZ,209960,México,0,72,4,1,0,6.37,9416,Camarões
14,R MARQUEZ,178119,México,1,55,7,0,0,7.65,9014,Camarões
15,H HERRERA,329092,México,1,38,4,0,0,7.46,11262,Camarões
16,M LAYUN,371044,México,2,33,4,0,0,7.97,10416,Camarões
17,G DOS SANTOS,234551,México,1,27,2,0,0,8.01,9523,Camarões
18,H MORENO,238112,México,0,62,2,2,0,6.68,8974,Camarões
19,A GUARDADO,251352,México,1,28,4,1,0,8.22,8463,Camarões
20,O PERALTA,227851,México,2,14,0,1,0,7.45,7521,Camarões
21,P AGUILAR,289195,México,0,31,1,2,0,8.63,10117,Camarões
22,J VAZQUEZ,379264,México,0,57,4,1,0,7.66,10183,Camarões
23,C SALCIDO,218253,México,0,0,0,0,0,5.69,378,Camarões
24,M FABIAN,319311,México,0,11,1,0,0,8.17,3116,Camarões
25,J HERNANDEZ,228599,México,1,2,0,0,0,8.21,2170,Camarões
26,ITANJDE,216990,Camarões,0,12,0,0,3,5.19,3585,México
27,ASSOU EKOTTO,306180,Camarões,2,34,5,0,0,7.66,9474,México
28,NKOULOU,290931,Camarões,0,23,5,2,0,7.41,8547,México
29,DJEUGOUE,380060,Camarões,0,9,2,1,0,7.81,5005,México
30,SONG,200261,Camarões,0,31,1,1,0,7.16,8607,México
31,MOUKANDJO,296118,Camarões,1,13,1,0,0,8.32,10534,México
32,ETO'O,170667,Camarões,2,15,1,1,0,8.01,7469,México
33,CHOUPO-MOTING,312316,Camarões,1,18,3,2,0,7.82,9682,México
34,CHEDJOU,278732,Camarões,2,33,10,2,0,7.96,8705,México
35,MBIA,200935,Camarões,1,36,3,0,0,7.22,10626,México
36,ENOH,310048,Camarões,1,20,1,1,0,6.79,11186,México
37,NOUNKEU,200259,Camarões,0,22,3,2,0,7.91,5058,México
38,WEBO,214135,Camarões,0,1,1,0,0,6.07,1594,México
39,I. CASILLAS,176644,Espanha,0,15,0,0,5,3.87,3084,Holanda
40,PIQUÉ,216973,Espanha,0,57,4,1,0,7.36,9178,Holanda
41,A. INIESTA,183857,Espanha,2,63,1,0,0,6.63,9853,Holanda
42,XAVI,177855,Espanha,0,72,2,0,0,6.43,11116,Holanda
43,ALONSO,207528,Espanha,1,52,2,1,0,7.52,7307,Holanda
44,RAMOS,216814,Espanha,1,55,6,1,0,8.17,9366,Holanda
45,SERGIO,303034,Espanha,0,65,1,1,0,8.02,9736,Holanda
46,JORDI ALBA,306954,Espanha,0,59,5,0,0,8.78,9930,Holanda
47,DIEGO COSTA,367920,Espanha,2,13,0,0,0,6.94,6239,Holanda
48,SILVA,200176,Espanha,2,39,4,2,0,6.7,8331,Holanda
49,AZPILICUETA,270948,Espanha,0,44,5,1,0,7.97,9297,Holanda
50,TORRES,183864,Espanha,0,6,0,0,0,6.95,3279,Holanda
51,FÁBREGAS,200179,Espanha,0,10,1,0,0,8.27,1924,Holanda
52,PEDRO,318601,Espanha,1,10,0,1,0,7.86,3406,Holanda
53,CILLESSEN,358738,Holanda,0,24,0,1,3,4.09,4801,Espanha
54,VLAAR,216715,Holanda,0,28,5,2,0,7.77,9867,Espanha
55,DE VRIJ,313021,Holanda,2,22,4,5,0,7.14,7889,Espanha
56,MARTINS INDI,358736,Holanda,0,38,7,0,0,7.06,10229,Espanha
57,BLIND,319432,Holanda,0,49,3,1,0,6.9,10694,Espanha
58,DE JONG,216964,Holanda,1,32,7,2,0,6.63,10333,Espanha
59,JANMAAT,319428,Holanda,0,30,9,2,0,7.81,11014,Espanha
60,DE GUZMAN,298677,Holanda,0,12,1,0,0,7.55,7259,Espanha
61,V. PERSIE,217315,Holanda,4,15,0,1,0,8.01,8400,Espanha
62,SNEIJDER,215002,Holanda,2,27,3,1,0,8.38,10854,Espanha
63,ROBBEN,184616,Holanda,3,19,2,0,0,8.62,10283,Espanha
64,VELTMAN,313051,Holanda,0,5,0,3,0,7.55,2032,Espanha
65,JULIO CESAR,179038,Brasil,0,16,0,0,3,0,3572,Croácia
66,DANI ALVES,190962,Brasil,2,70,5,2,0,0,10348,Croácia
67,T SILVA,289964,Brasil,0,66,5,1,0,0,8079,Croácia
68,DAVID LUIZ,271043,Brasil,2,50,5,1,0,0,8962,Croácia
69,MARCELO,218284,Brasil,0,52,4,2,0,0,9211,Croácia
70,HULK,318172,Brasil,2,14,1,0,0,0,7193,Croácia
71,PAULINHO,362727,Brasil,2,21,2,1,0,1,7629,Croácia
72,FRED,233952,Brasil,0,8,2,0,0,0,9187,Croácia
73,NEYMAR JR,314197,Brasil,4,35,3,1,0,1,9538,Croácia
74,OSCAR,312868,Brasil,2,29,3,4,0,1,9931,Croácia
75,L GUSTAVO,367918,Brasil,0,57,7,1,0,2,11167,Croácia
76,RAMIRES,298959,Brasil,0,0,1,1,0,0,941,Croácia
77,HERNANES,239424,Brasil,0,5,1,0,0,0,3420,Croácia
78,BERNARD,356669,Brasil,0,9,1,0,0,0,2920,Croácia
79,PLETIKOSA,179048,Croácia,0,17,0,0,3,0,3312,Brasil
80,VRSALJKO,336485,Croácia,0,42,8,3,0,2,10885,Brasil
81,PERIŠIĆ,359381,Croácia,2,13,5,2,0,3,10473,Brasil
82,C. BRAVO,202650,Chile,0,35,0,0,3,6.75,5112,Austrália
83,MENA,349592,Chile,1,61,3,1,0,8.51,9888,Austrália
84,ISLA,228617,Chile,1,67,6,2,0,7.92,9695,Austrália
85,ALEXIS,228627,Chile,2,33,3,1,0,8.63,8718,Austrália
86,VIDAL,267543,Chile,1,35,2,3,0,7.35,7037,Austrália
87,VALDIVIA,202655,Chile,2,31,1,5,0,7.51,7358,Austrália
88,VARGAS,270301,Chile,1,28,1,0,0,7.41,8853,Austrália
89,MEDEL,267527,Chile,0,71,5,1,0,7.04,9270,Austrália
90,JARA,229439,Chile,0,72,7,0,0,7.31,9165,Austrália
91,CH. ARÁNGUIZ,318150,Chile,0,56,5,1,0,8.07,11648,Austrália
92,DIAZ,233530,Chile,1,71,3,2,0,7.36,11910,Austrália
93,PINILLA,201787,Chile,1,0,0,0,0,3.79,308,Austrália
94,BEAUSEJOUR,209502,Chile,1,5,0,1,0,7.87,2475,Austrália
95,GUTIÉRREZ,349588,Chile,0,17,0,0,0,7.56,4507,Austrália
96,RYAN,339117,Austrália,0,30,0,0,2,4.71,5837,Chile
97,FRANJIC,370062,Austrália,0,18,2,4,0,7.26,5833,Chile
98,DAVIDSON,306364,Austrália,0,33,7,1,0,8.57,10061,Chile
99,CAHILL,213001,Austrália,5,22,1,1,0,6.95,9790,Chile
100,MILLIGAN,197411,Austrália,1,27,7,4,0,7.41,10760,Chile
101,SPIRANOVIC,229051,Austrália,0,24,5,1,0,7.4,9633,Chile
102,LECKIE,321697,Austrália,2,31,6,1,0,8.73,10396,Chile
103,OAR,306424,Austrália,2,12,2,0,0,7.61,8281,Chile
104,JEDINAK,197514,Austrália,0,26,4,1,0,7.96,11225,Chile
105,WILKINSON,182620,Austrália,0,18,3,2,0,6.8,9680,Chile
106,BRESCIANO,178299,Austrália,3,32,2,1,0,6.19,10107,Chile
107,HALLORAN,379164,Austrália,0,4,0,0,0,7.96,2694,Chile
108,TROISI,290605,Austrália,0,4,1,1,0,7.66,1959,Chile
109,MCGOWAN,306410,Austrália,0,12,2,2,0,7.7,3966,Chile
