,nome,codigo,time,chutes,passes_completados,bolas_recuperadas,desarmes,defesas,velocidade_maxima,distancia,adversario
0,18   VALLADARES,178185,Honduras,0,24,0,0,7,15,2995,Suíça
1,3   FIGUEROA,213879,Honduras,2,55,10,3,0,31.6,8529,Suíça
2,5   BERNARDEZ,213878,Honduras,0,33,2,0,0,28.7,7748,Suíça
3,6   J.C. GARCIA,296303,Honduras,1,60,5,4,0,31.1,8949,Suíça
4,8   W. PALACIOS,209827,Honduras,1,77,3,4,0,25.8,7842,Suíça
5,11   BENGTSON,323623,Honduras,3,15,0,1,0,30.2,7812,Suíça
6,13   COSTLY,271414,Honduras,0,8,1,1,0,23.9,3537,Suíça
7,14   BONIEK,237071,Honduras,0,33,1,1,0,29,8085,Suíça
8,15   ESPINOZA,304934,Honduras,1,28,2,1,0,27,4686,Suíça
9,20   CLAROS,230114,Honduras,1,66,7,6,0,29.8,9512,Suíça
10,21   BECKELES,339551,Honduras,2,41,5,5,0,28.8,9470,Suíça
11,9   J. PALACIOS,213953,Honduras,1,13,0,0,0,27.4,5367,Suíça
12,17   NAJAR,330693,Honduras,1,9,0,0,0,25.5,1695,Suíça
13,23   M. CHAVEZ,227839,Honduras,0,17,3,0,0,28.5,3881,Suíça
14,1   BENAGLIO,196633,Suíça,0,15,0,0,3,23.9,4488,Honduras
15,2   LICHTSTEINER,196605,Suíça,0,36,7,4,0,27.4,9149,Honduras
16,8   INLER,261029,Suíça,2,42,6,2,0,28.5,9911,Honduras
17,10   XHAKA,311558,Suíça,3,23,0,4,0,26.9,9039,Honduras
18,11   BEHRAMI,216627,Suíça,0,27,5,3,0,25,10155,Honduras
19,13   RODRIGUEZ,313559,Suíça,0,23,5,9,0,29.8,8943,Honduras
20,18   MEHMEDI,356409,Suíça,1,25,4,2,0,27.8,10184,Honduras
21,19   DRMIC,356399,Suíça,3,12,0,0,0,30.3,8488,Honduras
22,20   DJOUROU,216645,Suíça,0,17,4,2,0,24.6,7838,Honduras
23,22   SCHÄR,356411,Suíça,0,18,4,5,0,24.6,8022,Honduras
24,23   SHAQIRI,321653,Suíça,7,30,2,2,0,28.7,10064,Honduras
25,6   LANG,356407,Suíça,0,4,0,0,0,25,1768,Honduras
26,9   SEFEROVIC,311554,Suíça,0,5,0,0,0,28.8,1901,Honduras
