nome,chutes,passes_completados,bolas_recuperadas,desarmes,defesas,distancia,jogos,time
10   A. AYEW,5.0,64.0,7.0,3.0,0.0,30512.0,3,Gana
10   A. AYEW,5.0,64.0,7.0,3.0,0.0,30512.0,3,Gana
10   A. AYEW,5.0,64.0,7.0,3.0,0.0,30512.0,3,Gana
10   ABOUBAKAR,5.0,29.0,3.0,2.0,0.0,14089.0,2,Camarões
10   ABOUBAKAR,5.0,29.0,3.0,2.0,0.0,14089.0,2,Camarões
10   BENZEMA,20.0,82.0,3.0,1.0,0.0,28316.0,3,França
10   BENZEMA,20.0,82.0,3.0,1.0,0.0,28316.0,3,França
10   BENZEMA,20.0,82.0,3.0,1.0,0.0,28316.0,3,França
10   C Y PARK,1.0,27.0,1.0,3.0,0.0,13040.0,2,Coreia do Sul
10   C Y PARK,1.0,27.0,1.0,3.0,0.0,13040.0,2,Coreia do Sul
10   CASSANO,2.0,23.0,2.0,0.0,0.0,6529.0,2,Itália
10   CASSANO,2.0,23.0,2.0,0.0,0.0,6529.0,2,Itália
10   D. FORLAN,4.0,32.0,0.0,0.0,0.0,13090.0,2,Uruguai
10   D. FORLAN,4.0,32.0,0.0,0.0,0.0,13090.0,2,Uruguai
10   DZAGOEV,2.0,26.0,3.0,0.0,0.0,9465.0,3,Rússia
10   DZAGOEV,2.0,26.0,3.0,0.0,0.0,9465.0,3,Rússia
10   DZAGOEV,2.0,26.0,3.0,0.0,0.0,9465.0,3,Rússia
10   E.HAZARD,3.0,64.0,1.0,0.0,0.0,21462.0,3,Bélgica
10   E.HAZARD,3.0,64.0,1.0,0.0,0.0,21462.0,3,Bélgica
10   E.HAZARD,3.0,64.0,1.0,0.0,0.0,21462.0,3,Bélgica
10   FEGHOULI,3.0,64.0,9.0,6.0,0.0,32962.0,3,Argélia
10   FEGHOULI,3.0,64.0,9.0,6.0,0.0,32962.0,3,Argélia
10   FEGHOULI,3.0,64.0,9.0,6.0,0.0,32962.0,3,Argélia
10   FÁBREGAS,0.0,36.0,3.0,1.0,0.0,5394.0,2,Espanha
10   FÁBREGAS,0.0,36.0,3.0,1.0,0.0,5394.0,2,Espanha
10   G. DOS SANTOS,3.0,61.0,3.0,1.0,0.0,24310.0,3,México
10   G. DOS SANTOS,3.0,61.0,3.0,1.0,0.0,24310.0,3,México
10   G. DOS SANTOS,3.0,61.0,3.0,1.0,0.0,24310.0,3,México
10   GERVINHO,6.0,68.0,7.0,1.0,0.0,26143.0,3,Costa do Marfim
10   GERVINHO,6.0,68.0,7.0,1.0,0.0,26143.0,3,Costa do Marfim
10   GERVINHO,6.0,68.0,7.0,1.0,0.0,26143.0,3,Costa do Marfim
10   HALLORAN,0.0,17.0,2.0,2.0,0.0,11953.0,3,Austrália
10   HALLORAN,0.0,17.0,2.0,2.0,0.0,11953.0,3,Austrália
10   HALLORAN,0.0,17.0,2.0,2.0,0.0,11953.0,3,Austrália
