time,gols,ataque,chutes,passes_area,desarmes,passes_completados,posse_bola,chutes_certos,chutes_bloqueados,chutes_defendidos,chutes_fora,chutes_trave,bola_parada,cruzamentos,escanteios,impedimentos,defesas,bolas_recuperadas,bolas_perdidas,carrinho,faltas_cometidas,cartao_amarelo,cartao_vermelho,dist_total,dist_com_bola,dist_sem_bola,passes,passes_curtos,passes_medios,passes_longos,porc_passes_completos,vitorias,empates,derrotas,gols_sofridos,jogos
Alemanha,7.0,140.0,37.0,29.0,33.0,1792.0,176.0,24.0,7.0,9.0,13.0,0.0,5.0,67.0,14.0,10.0,9.0,129.0,225.0,0.0,28.0,1.0,0.0,341341.0,143717.0,113448.0,2120.0,508.0,1389.0,223.0,253.0,2.0,1.0,0.0,2.0,3
Argentina,6.0,170.0,48.0,40.0,25.0,1525.0,183.0,27.0,6.0,16.0,21.0,1.0,9.0,71.0,24.0,1.0,9.0,123.0,233.0,0.0,24.0,1.0,0.0,307952.0,129588.0,94788.0,1882.0,431.0,1208.0,243.0,243.0,3.0,0.0,0.0,3.0,3
Argélia,6.0,78.0,26.0,17.0,63.0,859.0,129.0,15.0,3.0,6.0,11.0,0.0,9.0,46.0,10.0,3.0,12.0,118.0,237.0,0.0,49.0,5.0,0.0,337489.0,102393.0,139302.0,1259.0,302.0,715.0,242.0,202.0,1.0,1.0,1.0,5.0,3
Austrália,3.0,90.0,27.0,17.0,32.0,1103.0,131.0,14.0,5.0,5.0,13.0,0.0,3.0,47.0,6.0,3.0,11.0,124.0,243.0,0.0,50.0,6.0,0.0,354337.0,111951.0,156008.0,1459.0,307.0,929.0,223.0,227.0,0.0,0.0,3.0,9.0,3
Brasil,8.0,190.0,70.0,46.0,50.0,1551.0,215.0,48.0,19.0,21.0,22.0,0.0,13.0,100.0,27.0,11.0,6.0,178.0,354.0,0.0,65.0,8.0,0.0,437375.0,157424.0,146140.0,2102.0,575.0,1186.0,341.0,296.0,2.0,2.0,0.0,3.0,4
Bélgica,4.0,136.0,43.0,19.0,31.0,1187.0,168.0,28.0,10.0,14.0,15.0,1.0,8.0,54.0,16.0,14.0,8.0,112.0,221.0,0.0,45.0,4.0,1.0,322842.0,121725.0,105194.0,1586.0,371.0,956.0,259.0,221.0,3.0,0.0,0.0,1.0,3
Bósnia e Herzegovina,4.0,132.0,47.0,33.0,39.0,1412.0,160.0,30.0,10.0,15.0,17.0,0.0,7.0,72.0,16.0,6.0,13.0,135.0,236.0,0.0,41.0,3.0,0.0,337795.0,135028.0,118609.0,1766.0,430.0,1115.0,221.0,240.0,1.0,0.0,2.0,4.0,3
Camarões,1.0,100.0,40.0,19.0,41.0,878.0,137.0,17.0,14.0,2.0,23.0,2.0,5.0,49.0,15.0,4.0,15.0,108.0,218.0,0.0,37.0,4.0,1.0,291964.0,85052.0,110357.0,1208.0,328.0,698.0,182.0,218.0,0.0,0.0,3.0,9.0,3
Chile,6.0,150.0,38.0,32.0,74.0,1850.0,221.0,19.0,7.0,6.0,19.0,1.0,6.0,74.0,16.0,8.0,18.0,193.0,363.0,0.0,61.0,7.0,0.0,481229.0,176558.0,159899.0,2395.0,508.0,1480.0,407.0,307.0,2.0,1.0,1.0,4.0,4
Colômbia,11.0,117.0,46.0,33.0,47.0,1213.0,191.0,33.0,12.0,10.0,13.0,0.0,8.0,43.0,14.0,7.0,19.0,143.0,297.0,0.0,68.0,3.0,0.0,412784.0,138329.0,147928.0,1678.0,433.0,969.0,276.0,289.0,4.0,0.0,0.0,2.0,4
Coreia do Sul,3.0,128.0,37.0,34.0,38.0,1152.0,155.0,24.0,10.0,11.0,13.0,0.0,8.0,54.0,18.0,2.0,12.0,132.0,243.0,0.0,36.0,6.0,0.0,333025.0,118922.0,114672.0,1544.0,373.0,900.0,271.0,224.0,0.0,1.0,2.0,6.0,3
Costa Rica,4.0,69.0,26.0,15.0,34.0,950.0,135.0,13.0,2.0,7.0,13.0,0.0,7.0,36.0,14.0,8.0,7.0,138.0,222.0,0.0,59.0,2.0,0.0,324696.0,97203.0,122029.0,1317.0,344.0,734.0,239.0,217.0,2.0,1.0,0.0,1.0,3
Costa do Marfim,4.0,133.0,47.0,24.0,51.0,1215.0,167.0,30.0,15.0,11.0,17.0,0.0,7.0,62.0,20.0,6.0,8.0,107.0,202.0,0.0,49.0,7.0,0.0,287376.0,108389.0,91599.0,1532.0,350.0,976.0,206.0,238.0,1.0,0.0,2.0,5.0,3
Croácia,6.0,123.0,41.0,30.0,35.0,1021.0,148.0,23.0,8.0,10.0,18.0,0.0,5.0,68.0,17.0,5.0,5.0,107.0,214.0,0.0,48.0,4.0,1.0,314376.0,104477.0,107515.0,1382.0,324.0,802.0,256.0,220.0,1.0,0.0,2.0,6.0,3
EUA,4.0,72.0,27.0,10.0,40.0,1097.0,126.0,18.0,8.0,6.0,9.0,0.0,3.0,29.0,11.0,4.0,12.0,105.0,228.0,0.0,38.0,3.0,0.0,341835.0,101410.0,144383.0,1440.0,392.0,842.0,206.0,227.0,1.0,1.0,1.0,4.0,3
Equador,3.0,103.0,29.0,14.0,37.0,799.0,135.0,18.0,8.0,7.0,11.0,0.0,6.0,46.0,18.0,6.0,18.0,125.0,221.0,0.0,49.0,5.0,1.0,296272.0,91952.0,115229.0,1181.0,270.0,672.0,239.0,203.0,1.0,1.0,1.0,3.0,3
Espanha,4.0,131.0,35.0,30.0,29.0,1703.0,168.0,23.0,9.0,10.0,12.0,0.0,5.0,45.0,17.0,12.0,7.0,144.0,253.0,0.0,28.0,3.0,0.0,325484.0,139260.0,104644.0,2071.0,688.0,1149.0,234.0,246.0,1.0,0.0,2.0,7.0,3
França,8.0,151.0,62.0,49.0,14.0,1467.0,166.0,39.0,13.0,19.0,23.0,4.0,7.0,80.0,18.0,4.0,6.0,114.0,212.0,0.0,35.0,4.0,0.0,324815.0,128530.0,106168.0,1800.0,475.0,1105.0,220.0,242.0,2.0,1.0,0.0,2.0,3
